web-scraper-order,web-scraper-start-url,empresas,empresas-href,name,description,site,site-href,logo-src
"1534191749-156","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=e","4.1






EDP Energias Do Brasil

168 avaliações

337 salários","https://www.lovemondays.com.br/trabalhar-na-edp-energias-do-brasil","EDP Energias Do Brasil","Descrição:A EDP é uma empresa no setor elétrico e a terceira maior geradora de energia eólica no mundo. No Brasil, controla empresas de geração, transmissão e comercialização de energia elétrica para nove Estados das regiões Sudeste, Centro-Oeste, Nordeste, Sul e Norte. Fundada em 2000, a empresa gera 1.727 megawatts/ano no país. Em distribuição, o grupo controla a EDP Bandeirante, em São Paulo, e a EDP Escelsa, no Espírito Santo, que juntas atendem 7,8 milhões de pessoas.","http://www.edp.com.br/","http://www.edp.com.br/","https://thumb.lovemondays.com.br/MuaVtU8wpDB_Ir6cCA6nWs0ECqQ=/68x68/https://media.lovemondays.com.br/logos/5373c7/edp-energias-do-brasil-original.png"
"1534191734-152","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=e","4.2






Eurofarma

256 avaliações

553 salários","https://www.lovemondays.com.br/trabalhar-na-eurofarma","Eurofarma","Descrição:Fundada em 1972, a Eurofarma está entre as principais empresas farmacêuticas do país, com produção anual de 192 milhões de unidades (caixas), alcançando o quatro lugar na lista de maiores indústrias de genéricos do Brasil. A empresa possui oito complexos industriais nos Estados de São Paulo e Rio de Janeiro, além de fábricas na Guatemala, Colômbia e Peru.","http://www.eurofarma.com.br/","http://www.eurofarma.com.br/","https://thumb.lovemondays.com.br/UughMROQpGfGeA69hIHku72ilLI=/68x68/https://media.lovemondays.com.br/logos/f7de84/eurofarma-original.jpg"
"1534191618-130","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=e","3.5






MRV Engenharia

630 avaliações

1334 salários","https://www.lovemondays.com.br/trabalhar-na-mrv-engenharia","MRV Engenharia","Descrição:Desde 1979 no mercado imobiliário, a MRV Engenharia é a maior construtora e incorporadora do país, além de ser a única que oferece casas e apartamentos em 120 cidades do Brasil. A ampla experiência permite o planejamento do processo construtivo, a antecipação de tendências e a melhor relação custo/benefício do mercado. A MRV Engenharia possui apartamentos à venda para brasileiros espalhados por todo o mundo e, diariamente, mais de 135 imóveis são vendidos. Pelas facilidades de compra, linhas diferenciadas de produtos, pagamentos flexíveis, inovações e localização privilegiada de seus empreendimentos, milhares de famílias já realizaram o sonho da casa própria.","http://www.mrv.com.br/","http://www.mrv.com.br/","https://thumb.lovemondays.com.br/7abtInA5SkCCk32PnbnXP6LOFNU=/68x68/https://media.lovemondays.com.br/logos/d363f1/mrv-engenharia-original.png"
"1534191708-148","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=e","3.4






EMS

236 avaliações

628 salários","https://www.lovemondays.com.br/trabalhar-na-ems","EMS","Descrição:A EMS trabalha no setor farmacêutico há 50 anos e é a líder no mercado nos últimos seis anos. Possui duas fábricas, em São Bernardo do Campo e Hortolândia, ambas no estado de São Paulo. A empresa já iniciou a construção de outra fábrica, em Manaus (AM), e tem planos de outras duas unidades: uma no Distrito Federal e em Jaguariúna (SP). A EMS produz 480 milhões de unidades de medicamentos anualmente e essa capacidade tende a se expandir com a construção das novas unidades produtoras. São cinco mil colaboradores no quadro de funcionários da marca.","http://www.ems.com.br/","http://www.ems.com.br/","https://thumb.lovemondays.com.br/FU-vxtvQ83Z_9yq7ZT0OikuCt84=/68x68/https://media.lovemondays.com.br/logos/2d1da6/ems-original.png"
"1534191683-144","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=e","3.3






Embratel

363 avaliações

565 salários","https://www.lovemondays.com.br/trabalhar-na-embratel","Embratel","Descrição:A Embratel faz parte da América Móvil, um dos maiores grupos de telefonia móvel do mundo, e é a mais completa operadora de telecomunicações brasileira. Oferecemos soluções para todo o mercado nacional nas áreas de Telefonia, Voz, Dados, Internet e TV por assinatura, além de garantir comunicação a qualquer ponto do território brasileiro, por meio de soluções via satélite.Como patrocinadora oficial exclusiva dos Jogos Olímpicos Rio 2016, na categoria Serviços de Telecomunicações, a Embratel dá continuidade ao trabalho que vem desenvolvendo junto ao esporte investindo, também, em alguns dos maiores atletas olímpicos e paralímpicos do País, para que possam superar seus limites e chegar ainda mais longe.","http://portal.embratel.com.br/","http://portal.embratel.com.br/","https://thumb.lovemondays.com.br/hGgQh9e-mxtGVr0BeJ07wjAblJQ=/68x68/https://media.lovemondays.com.br/logos/b1918b/embratel-original.png"
"1534191621-131","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=e","3.3






Kroton Educacional

313 avaliações

779 salários","https://www.lovemondays.com.br/trabalhar-na-kroton-educacional","Kroton Educacional","Descrição:A Kroton é uma das maiores organizações educacionais privadas, com fins lucrativos, do Brasil, com atuação no setor educacional brasileiro há mais de 45 anos, tendo início em 1966. A Companhia tem um modelo de negócio abrangente e diferenciado que atende vários segmentos educacionais desde o maternal até o mestrado. No Ensino Superior, são oferecidos cursos de Graduação e de Pós-graduação nos formatos Presencial e a Distância. Na Educação Básica são fornecidos às Escolas Associadas os sistemas de ensino, que compreendem material didático, serviços de treinamento, avaliação e tecnologia educacional, suportados por um robusto modelo pedagógico eficiente. A Kroton tem uma presença nacional, localizados em 10 Estados do Brasil e em 39 municípios, além de 447 polos ativos de graduação de EaD. São 411 mil alunos no Ensino Superior, nas modalidades de Ensino Presencial e a Distância. Além disso, atende cerca de 289 mil alunos na Educação Básica divididos entre o setor privado, com 810 escolas associadas em todos os estados do Brasil, e o setor público, com atuação em três cidades através do Projecta.","http://www.kroton.com.br/","http://www.kroton.com.br/","https://thumb.lovemondays.com.br/oA3F5VbTHJS64M3jX9o3gUZuCQ8=/68x68/https://thumb.lovemondays.com.br/image/db7838f5a3154893a480accb5b2a9f8a/logos/fe99ba/kroton-educacional.png"
"1534191610-128","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=e","3.9






Rodonaves Transportes e Encomendas - RTE

130 avaliações

225 salários","https://www.lovemondays.com.br/trabalhar-na-rodonaves-transportes-e-encomendas-rte","Rodonaves Transportes e Encomendas - RTE","Descrição:Dos pedais e de uma bicicleta aos veículos que rodam milhares de quilômetros todos os dias nas estradas do Brasil. Foi a partir de um pequeno Box na rodoviária de Ribeirão Preto, de onde fazia entregas com uma bicicleta de carga, que o Sr. João Naves iniciou a história daquela que viria a ser uma das maiores transportadoras do país, presente em sete estados, além do Distrito Federal, atendendo mais de 2.000 cidades. O empreendedorismo de seu fundador, acompanhado de investimentos constantes em sua frota, serviços e na capacitação e desenvolvimento de sua equipe, tornaram a RTE Rodonaves uma empresa com qualidade diferenciada no transporte terrestre de cargas dedicadas e de encomendas fracionadas. Baseada em uma administração moderna e eficiente, a Matriz da RTE Rodonaves é certificada ISO 9001 2008 desde 2002, sendo referência de gestão para as 10 filiais e as mais de 140 unidades de negócio. Tudo isso demonstra o crescimento de uma empresa que se orgulha em ser brasileira e familiar, comprometida em atender clientes de diferentes perfis com segurança e pontualidade em suas entregas. E hoje, a empresa é sinônimo de eficiência, avançando sem fronteiras e acumulando conquistas em mais de três décadas de história. A RTE Rodonaves agradece a todos que contribuem para o seu crescimento contínuo.","http://www.rte.com.br/","http://www.rte.com.br/","https://thumb.lovemondays.com.br/Cp0WNyShpry0PZkt4ktUX1r2f4c=/68x68/https://media.lovemondays.com.br/logos/acdde1/rodonaves-transportes-e-encomendas-rte-original.jpg"
"1534191690-145","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=e","3.2






Everis

252 avaliações

560 salários","https://www.lovemondays.com.br/trabalhar-na-everis","Everis","Descrição:A everis, uma empresa do grupo NTT DATA, é uma multinacional de consultoria que oferece soluções de estratégia e de negócios, desenvolvimento e manutenção de aplicações tecnológicas e serviços de terceirização. A empresa que atua nos setores de telecomunicações, serviços públicos, financeiros, industriais, de energia, e o setor de saúde, atingiu um volume de negócios de 591 milhões de euros no último ano fiscal. Atualmente tem 10.600 profissionais localizados em escritórios e centros de alto desempenho em 13 países.","http://www.everis.com/brazil/pt-BR/home/Paginas/home.aspx","http://www.everis.com/brazil/pt-BR/home/Paginas/home.aspx","https://thumb.lovemondays.com.br/JmJKOfHLlikhR1IucB8nFWlDmi8=/68x68/https://media.lovemondays.com.br/logos/bda87f/everis-original.png"
"1534191614-129","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=e","3.8






Embraco

212 avaliações

383 salários","https://www.lovemondays.com.br/trabalhar-na-embraco","Embraco","Descrição:A Embraco foi criada em março de 1971, em Joinville (SC), por três empresas de refrigeradores: Consul, Prosdócimo e Springler. É uma empresa especializada na produção de compressores para aparelhos de refrigeração. Desde os anos 90, tem participação no mercado externo, com fábricas na Itália, na China, no México e na Eslováquia, além de um escritório comercial nos Estados Unidos, empregando cerca de dez mil funcionários. Produz, anualmente, 30 milhões de compressores.","http://www.embraco.com/","http://www.embraco.com/","https://thumb.lovemondays.com.br/g46Hn21_zbBWdOcoSBWTQftThjw=/68x68/https://media.lovemondays.com.br/logos/4f683e/embraco-original.png"
"1534191741-154","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=e","3.9






Centro de Integração Empresa-Escola (CIEE)

255 avaliações

560 salários","https://www.lovemondays.com.br/trabalhar-na-centro-de-integracao-empresa-escola-ciee","Centro de Integração Empresa-Escola (CIEE)","Descrição:O Centro de Integração Empresa-Escola (CIEE) é uma instituição filantrópica, mantida pelo empresariado nacional, de assistência social, sem finalidades lucrativas, que trabalha em prol da juventude estudantil brasileira. O maior objetivo do CIEE, com 50 anos de existência é encontrar, para os estudantes de nível médio, técnico e superior oportunidades de estágio ou aprendizado, que os auxiliem a colocar em prática tudo o que aprenderam na teoria.","http://www.ciee.org.br/","http://www.ciee.org.br/","https://thumb.lovemondays.com.br/JiqiC88Ej9iW_sIQXR-9Lt1mFHU=/68x68/https://media.lovemondays.com.br/logos/f87c03/centro-de-integracao-empresa-escola-ciee-1-original.png"
"1534191625-132","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=e","3.7






Serasa Experian

379 avaliações

752 salários","https://www.lovemondays.com.br/trabalhar-na-serasa-experian","Serasa Experian","Descrição:A Serasa Experian, parte do grupo Experian, é o maior bureau de crédito do mundo fora dos Estados Unidos, detendo o mais extenso banco de dados da América Latina sobre consumidores, empresas e grupos econômicos. Há mais de 40 anos presente no mercado brasileiro, a Serasa Experian participa da maioria das decisões de crédito e negócios tomadas no País, respondendo on-line/real-time a 6 milhões de consultas por dia, demandadas por 500 mil clientes diretos e indiretos. A Serasa Experian diferencia-se por oferecer soluções integradas que abrangem todas as etapas do ciclo de negócios: Prospecção de Mercado, Gestão de Clientes, Retenção e Rentabilização, Aquisição e Concessão de Crédito, Gestão do Portfólio de Crédito, Gestão de Cobrança e Fraude e Validação. O uso coordenado de informações consistentes e abrangentes de marketing e crédito, scorings e ratings avançados, sistemas de decisão de alta performance e softwares de gestão completos permite um resultado ainda melhor para os negócios, possibilitando a tomada de decisões mais rápidas, com menor risco e maior rentabilidade.","http://www.serasaexperian.com.br/","http://www.serasaexperian.com.br/","https://thumb.lovemondays.com.br/_6dMZwdqqL14DlazGhDZGI8kMAw=/68x68/https://thumb.lovemondays.com.br/image/b447abfee5134c87a96227cf6b10ea26/logos/83733c/serasa-experian.png"
"1534191645-137","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=e","3.7






CPFL Energia

279 avaliações

611 salários","https://www.lovemondays.com.br/trabalhar-na-cpfl-energia","CPFL Energia","Descrição:Após 100 anos de história, a CPFL Energia se tornou uma empresa de energia completa, com negócios em distribuição, geração, comercialização de energia elétrica e serviços. Hoje, somos considerados uma das maiores empresas do setor elétrico brasileiro. Levamos energia a quase 20 milhões de consumidores e conseguimos, ao longo dos anos, liderar o segmento de energias renováveis no Brasil com uma matriz diversificada: de grandes e pequenas centrais hidrelétricas a parques eólicos, usinas de biomassa, térmicas a óleo combustível e, mais recentemente, a primeira usina solar do Estado de São Paulo.","http://www.cpfl.com.br/","http://www.cpfl.com.br/","https://thumb.lovemondays.com.br/7Y-iOdFtB1iqxzvbv25WkjDYX7E=/68x68/https://media.lovemondays.com.br/logos/0f842e/cpfl-energia-original.png"
"1534191714-149","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=e","4.0






Embraer

640 avaliações

1534 salários","https://www.lovemondays.com.br/trabalhar-na-embraer","Embraer","Descrição:Embraer ou Empresa Brasileira de Aeronáutica S.A. é um conglomerado brasileiro fabricante de aviões comerciais, executivos, agrícolas e militares. Com mais de 40 anos de existência, a empresa atua em todas as etapas de um processo complexo: projeto, desenvolvimento, fabricação, venda e suporte pós-venda de aeronaves para os segmentos de aviação comercial, aviação executiva, além de oferecer soluções integradas para defesa e segurança. Já foram produzidos pela Embraer mais de 5 mil aviões, que operam em 80 países, nos cinco continentes, tornando-a líder no mercado de jatos comerciais com até 120 assentos, além da fabricação de alguns dos melhores jatos executivos em operação e da entrada em um novo patamar no setor de defesa.","http://www.embraer.com.br","http://www.embraer.com.br/","https://thumb.lovemondays.com.br/Lww5haZsdEhJp_VogRUgvmj14yg=/68x68/https://media.lovemondays.com.br/logos/fac69e/embraer-original.png"
"1534191737-153","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=e","3.3






Estapar Estacionamentos

108 avaliações

332 salários","https://www.lovemondays.com.br/trabalhar-na-estapar-estacionamentos","Estapar Estacionamentos","Descrição:Sendo uma empresa de vanguarda desde a sua fundação em 1981, a Estapar trouxe em primeira mão para o Brasil, serviços com diferenciais tecnológicos pioneiros para o setor como equipamentos automatizados para a operação de estacionamentos. Firmou seu diferencial competitivo ao estabelecer um contrato de exclusividade com a maior empresa de seguro de automóveis do País, a Porto Seguro.","http://www.estapar.com.br/","http://www.estapar.com.br/","https://thumb.lovemondays.com.br/tctCVoQXyQgkcVYS8SzHWFSWWhI=/68x68/https://media.lovemondays.com.br/logos/056dc3/estapar-estacionamentos-original.png"
